city,domain,job_role,education,experience_years,skills_count,salary
Mumbai,Web Development,Web Developer,BCA,1,2,475000
Bangalore,Data Science,Data Analyst,MCA,4,4,1380000
Chennai,Data Science,Data Scientist,B.Tech,0,3,665000
Bangalore,Data Science,Data Scientist,B.Sc,0,4,725000
Bangalore,Artificial Intelligence,ML Engineer,MCA,0,2,920000
Mumbai,Data Science,Data Scientist,MBA,10,8,3295000
Mumbai,Data Science,Data Scientist,M.Tech,1,3,1040000
Delhi,Software Development,Software Developer,M.Tech,4,5,1315000
Hyderabad,Artificial Intelligence,AI Engineer,MBA,7,7,2335000
Chennai,Web Development,Web Developer,M.Tech,4,4,1110000
Delhi,Data Science,Data Analyst,M.Tech,0,4,650000
Hyderabad,Software Development,Software Developer,BCA,4,4,1170000
Bangalore,Web Development,Web Developer,MCA,2,4,855000
Chennai,Artificial Intelligence,AI Engineer,B.Tech,7,5,2000000
Pune,Web Development,Web Developer,Diploma,1,3,395000
Chennai,Artificial Intelligence,AI Engineer,BCA,2,5,1070000
Delhi,Artificial Intelligence,AI Engineer,B.Sc,0,2,710000
Mumbai,Data Science,Data Scientist,B.Tech,1,3,890000
Pune,Artificial Intelligence,AI Engineer,B.Tech,4,5,1485000
Mumbai,Artificial Intelligence,ML Engineer,Diploma,0,4,720000
Delhi,Data Science,Data Analyst,Diploma,10,9,2730000
Chennai,Web Development,Web Developer,B.Tech,2,4,655000
Mumbai,Web Development,Web Developer,Diploma,0,4,330000
Pune,Web Development,Web Developer,Diploma,0,3,330000
Hyderabad,Software Development,Software Developer,B.Sc,0,4,535000
Mumbai,Data Science,Data Scientist,MCA,0,3,835000
Chennai,Artificial Intelligence,AI Engineer,MBA,1,3,905000
Pune,Software Development,Software Developer,Diploma,10,7,2585000
Pune,Software Development,Software Developer,BCA,1,3,565000
Delhi,Data Science,Data Scientist,Diploma,2,5,975000
Chennai,Software Development,Software Developer,MBA,10,7,2545000
Hyderabad,Artificial Intelligence,AI Engineer,B.Sc,1,4,965000
Delhi,Artificial Intelligence,AI Engineer,B.Sc,10,8,3050000
Hyderabad,Web Development,Web Developer,MBA,2,5,795000
Bangalore,Artificial Intelligence,AI Engineer,Diploma,7,6,2300000
Chennai,Data Science,Data Scientist,Diploma,1,2,610000
Delhi,Artificial Intelligence,ML Engineer,MCA,1,3,955000
Mumbai,Artificial Intelligence,AI Engineer,B.Sc,10,8,3260000
Delhi,Artificial Intelligence,AI Engineer,Diploma,4,4,1390000
Chennai,Data Science,Data Scientist,Diploma,4,5,1230000
Pune,Data Science,Data Scientist,B.Tech,2,5,1035000
Pune,Web Development,Web Developer,MBA,10,8,2640000
Mumbai,Software Development,Software Developer,M.Tech,10,7,3095000
Hyderabad,Artificial Intelligence,ML Engineer,M.Tech,4,5,1595000
Hyderabad,Data Science,Data Scientist,MCA,10,7,3105000
Hyderabad,Artificial Intelligence,ML Engineer,B.Sc,7,7,2155000
Pune,Software Development,Software Developer,MBA,4,6,1235000
Delhi,Data Science,Data Analyst,MCA,10,8,2885000
Chennai,Web Development,Web Developer,Diploma,7,6,1575000
Delhi,Web Development,Web Developer,MCA,10,7,2745000
Hyderabad,Web Development,Web Developer,B.Tech,4,6,1165000
Pune,Artificial Intelligence,ML Engineer,BCA,4,4,1370000
Hyderabad,Data Science,Data Scientist,MCA,2,4,1135000
Bangalore,Data Science,Data Analyst,BCA,2,5,890000
Delhi,Data Science,Data Scientist,M.Tech,4,5,1580000
Delhi,Software Development,Software Developer,MCA,0,2,545000
Pune,Artificial Intelligence,AI Engineer,M.Tech,2,3,1165000
Delhi,Data Science,Data Scientist,MBA,10,8,3055000
Chennai,Data Science,Data Scientist,M.Tech,1,4,910000
Hyderabad,Data Science,Data Scientist,B.Tech,1,3,925000
Delhi,Data Science,Data Scientist,MBA,4,6,1465000
Pune,Artificial Intelligence,AI Engineer,B.Tech,7,7,2140000
Chennai,Software Development,Software Developer,M.Tech,1,4,750000
Delhi,Data Science,Data Scientist,B.Sc,0,4,680000
Hyderabad,Web Development,Web Developer,B.Sc,2,4,650000
Hyderabad,Web Development,Web Developer,BCA,7,5,1845000
Pune,Software Development,Software Developer,B.Tech,0,2,520000
Delhi,Artificial Intelligence,AI Engineer,MCA,1,2,1020000
Chennai,Data Science,Data Analyst,MCA,1,2,570000
Delhi,Artificial Intelligence,AI Engineer,MBA,4,4,1515000
Bangalore,Data Science,Data Scientist,B.Sc,2,5,1110000
Pune,Data Science,Data Analyst,Diploma,2,4,655000
Bangalore,Artificial Intelligence,ML Engineer,BCA,2,4,1125000
Chennai,Data Science,Data Scientist,BCA,2,5,885000
Pune,Web Development,Web Developer,B.Tech,4,6,1080000
Mumbai,Data Science,Data Analyst,MCA,7,6,2125000
Delhi,Web Development,Web Developer,Diploma,0,3,290000
Chennai,Artificial Intelligence,AI Engineer,MCA,1,2,910000
Mumbai,Data Science,Data Analyst,B.Tech,10,9,3045000
Delhi,Artificial Intelligence,ML Engineer,B.Sc,7,5,2095000
Chennai,Artificial Intelligence,ML Engineer,MBA,0,4,805000
Mumbai,Artificial Intelligence,AI Engineer,MBA,0,3,880000
Hyderabad,Artificial Intelligence,AI Engineer,B.Tech,10,7,3185000
Mumbai,Data Science,Data Analyst,M.Tech,1,3,775000
Delhi,Software Development,Software Developer,B.Tech,0,3,545000
Chennai,Artificial Intelligence,AI Engineer,B.Sc,4,6,1370000
Chennai,Data Science,Data Scientist,MCA,1,4,860000
Pune,Artificial Intelligence,AI Engineer,B.Sc,0,4,780000
Hyderabad,Data Science,Data Analyst,MCA,0,3,575000
Chennai,Data Science,Data Scientist,MBA,4,4,1325000
Mumbai,Data Science,Data Analyst,M.Tech,0,3,625000
Bangalore,Artificial Intelligence,ML Engineer,B.Tech,7,5,2380000
Chennai,Artificial Intelligence,AI Engineer,Diploma,2,3,885000
Mumbai,Data Science,Data Analyst,BCA,10,9,2960000
Hyderabad,Artificial Intelligence,ML Engineer,Diploma,1,4,835000
Pune,Data Science,Data Scientist,M.Tech,4,4,1465000
Delhi,Software Development,Software Developer,Diploma,4,6,1095000
Mumbai,Data Science,Data Analyst,B.Sc,10,7,2925000
Mumbai,Software Development,Software Developer,Diploma,0,3,415000
Mumbai,Artificial Intelligence,ML Engineer,M.Tech,4,6,1700000
Hyderabad,Web Development,Web Developer,MCA,4,5,1220000
Mumbai,Data Science,Data Analyst,BCA,4,6,1205000
Hyderabad,Data Science,Data Analyst,B.Tech,2,3,805000
Pune,Artificial Intelligence,AI Engineer,B.Tech,1,2,875000
Delhi,Web Development,Web Developer,B.Sc,4,5,1095000
Chennai,Web Development,Web Developer,Diploma,10,8,2385000
Hyderabad,Artificial Intelligence,ML Engineer,MCA,1,2,1000000
Chennai,Data Science,Data Scientist,MCA,2,3,940000
Delhi,Artificial Intelligence,AI Engineer,MCA,0,2,895000
Mumbai,Artificial Intelligence,ML Engineer,Diploma,4,5,1405000
Delhi,Web Development,Web Developer,Diploma,7,7,1750000
Pune,Artificial Intelligence,ML Engineer,MBA,10,9,3025000
Delhi,Data Science,Data Scientist,BCA,0,3,725000
Mumbai,Data Science,Data Scientist,B.Sc,1,3,875000
Hyderabad,Data Science,Data Scientist,B.Sc,4,4,1345000
Bangalore,Data Science,Data Scientist,B.Sc,1,2,880000
Bangalore,Artificial Intelligence,AI Engineer,MBA,4,6,1780000
Bangalore,Artificial Intelligence,ML Engineer,B.Tech,1,4,1010000
Hyderabad,Web Development,Web Developer,MCA,7,6,1960000
Chennai,Software Development,Software Developer,Diploma,1,4,515000
Bangalore,Artificial Intelligence,ML Engineer,BCA,7,5,2300000
Pune,Data Science,Data Analyst,MBA,1,2,615000
Hyderabad,Software Development,Software Developer,BCA,1,2,625000
Hyderabad,Web Development,Web Developer,Diploma,1,4,470000
Bangalore,Data Science,Data Analyst,BCA,7,6,2060000
Mumbai,Data Science,Data Analyst,B.Sc,0,4,455000
Delhi,Data Science,Data Scientist,BCA,10,8,2935000
Bangalore,Data Science,Data Analyst,Diploma,0,3,440000
Chennai,Software Development,Software Developer,M.Tech,0,3,595000
Mumbai,Software Development,Software Developer,M.Tech,0,2,610000
Delhi,Web Development,Web Developer,Diploma,2,5,680000
Pune,Data Science,Data Scientist,B.Tech,4,6,1415000
Pune,Data Science,Data Scientist,BCA,7,7,1985000
Bangalore,Software Development,Software Developer,MBA,2,3,885000
Mumbai,Artificial Intelligence,AI Engineer,Diploma,1,3,920000
Pune,Software Development,Software Developer,B.Sc,7,6,1795000
Delhi,Artificial Intelligence,ML Engineer,B.Sc,2,4,1065000
Delhi,Artificial Intelligence,ML Engineer,M.Tech,2,5,1270000
Hyderabad,Software Development,Software Developer,B.Tech,2,3,870000
Bangalore,Artificial Intelligence,AI Engineer,Diploma,10,9,3365000
Chennai,Data Science,Data Scientist,M.Tech,2,3,1075000
Pune,Artificial Intelligence,AI Engineer,MBA,4,5,1535000
Pune,Web Development,Web Developer,MCA,7,6,1835000
Pune,Web Development,Web Developer,B.Tech,1,2,540000
Bangalore,Artificial Intelligence,AI Engineer,Diploma,4,6,1615000
Bangalore,Software Development,Software Developer,BCA,4,5,1320000
Bangalore,Data Science,Data Analyst,B.Sc,1,2,605000
Chennai,Artificial Intelligence,ML Engineer,B.Sc,4,6,1285000
Pune,Artificial Intelligence,ML Engineer,Diploma,10,9,2830000
Mumbai,Artificial Intelligence,AI Engineer,M.Tech,0,4,1065000
Hyderabad,Web Development,Web Developer,Diploma,4,6,1055000
Chennai,Artificial Intelligence,ML Engineer,MCA,0,4,805000
Mumbai,Artificial Intelligence,AI Engineer,BCA,0,4,870000
Bangalore,Data Science,Data Analyst,MCA,10,8,3110000
Chennai,Data Science,Data Analyst,B.Sc,4,5,1040000
Delhi,Data Science,Data Scientist,Diploma,4,5,1300000
Bangalore,Software Development,Software Developer,B.Sc,2,5,830000
Bangalore,Web Development,Web Developer,MCA,10,8,3110000
Bangalore,Artificial Intelligence,ML Engineer,BCA,1,3,955000
Bangalore,Data Science,Data Scientist,MBA,1,4,1055000
Chennai,Web Development,Web Developer,MCA,4,5,1100000
Pune,Data Science,Data Scientist,MCA,7,5,2035000
Bangalore,Data Science,Data Analyst,B.Tech,7,5,2115000
Chennai,Web Development,Web Developer,MCA,10,9,2535000
Hyderabad,Data Science,Data Scientist,MBA,0,4,820000
Chennai,Software Development,Software Developer,MBA,4,6,1205000
Mumbai,Data Science,Data Scientist,MCA,4,5,1535000
Bangalore,Artificial Intelligence,ML Engineer,M.Tech,4,4,1700000
Chennai,Software Development,Software Developer,MBA,7,5,1710000
Bangalore,Data Science,Data Analyst,BCA,4,4,1185000
Bangalore,Software Development,Software Developer,MBA,7,6,2175000
Delhi,Artificial Intelligence,ML Engineer,Diploma,1,2,780000
Pune,Data Science,Data Scientist,BCA,10,8,2885000
Bangalore,Software Development,Software Developer,MCA,0,4,655000
Pune,Software Development,Software Developer,Diploma,1,2,505000
Bangalore,Data Science,Data Scientist,Diploma,0,4,680000
Hyderabad,Artificial Intelligence,AI Engineer,BCA,2,5,1115000
Bangalore,Software Development,Software Developer,B.Sc,4,4,1275000
Mumbai,Data Science,Data Scientist,B.Tech,0,4,865000
Pune,Artificial Intelligence,AI Engineer,BCA,7,5,2060000
Hyderabad,Web Development,Web Developer,B.Sc,7,6,1850000
Pune,Artificial Intelligence,AI Engineer,B.Sc,10,9,2960000
Mumbai,Web Development,Web Developer,MBA,1,3,660000
Mumbai,Data Science,Data Analyst,M.Tech,7,5,2075000
Delhi,Artificial Intelligence,AI Engineer,MBA,10,8,3215000
Pune,Software Development,Software Developer,MCA,0,3,525000
Mumbai,Data Science,Data Analyst,B.Sc,7,5,1930000
Pune,Data Science,Data Scientist,B.Tech,0,2,685000
Delhi,Data Science,Data Scientist,B.Tech,10,9,3055000
Pune,Web Development,Web Developer,BCA,10,7,2560000
Hyderabad,Artificial Intelligence,AI Engineer,BCA,0,3,770000
Hyderabad,Web Development,Web Developer,MBA,7,5,1860000
Pune,Software Development,Software Developer,M.Tech,1,2,710000
Mumbai,Artificial Intelligence,AI Engineer,MCA,10,9,3480000
Delhi,Data Science,Data Analyst,B.Tech,10,8,2835000
Mumbai,Data Science,Data Scientist,Diploma,0,2,605000
Hyderabad,Data Science,Data Scientist,BCA,4,4,1395000
Delhi,Software Development,Software Developer,MBA,7,5,1875000
Hyderabad,Artificial Intelligence,AI Engineer,MBA,10,7,3185000
Delhi,Artificial Intelligence,AI Engineer,M.Tech,2,5,1265000
Chennai,Artificial Intelligence,ML Engineer,BCA,4,5,1260000
Pune,Artificial Intelligence,ML Engineer,Diploma,1,3,765000
Hyderabad,Data Science,Data Analyst,Diploma,0,4,430000
Delhi,Artificial Intelligence,AI Engineer,BCA,4,6,1535000
Delhi,Software Development,Software Developer,B.Sc,1,3,605000
Hyderabad,Software Development,Software Developer,MCA,4,6,1355000
Chennai,Data Science,Data Scientist,B.Tech,7,6,1935000
Bangalore,Data Science,Data Analyst,B.Sc,7,5,2020000
Pune,Artificial Intelligence,AI Engineer,MBA,0,2,835000
Delhi,Software Development,Software Developer,M.Tech,0,3,655000
Bangalore,Data Science,Data Scientist,B.Sc,10,8,3290000
Delhi,Artificial Intelligence,ML Engineer,M.Tech,7,7,2355000
Pune,Software Development,Software Developer,M.Tech,10,8,2840000
Pune,Data Science,Data Scientist,Diploma,10,9,2755000
Delhi,Data Science,Data Scientist,BCA,1,2,785000
Chennai,Web Development,Web Developer,BCA,10,8,2500000
Delhi,Data Science,Data Scientist,Diploma,10,9,2970000
Pune,Web Development,Web Developer,B.Tech,10,7,2605000
Hyderabad,Data Science,Data Analyst,B.Sc,0,4,450000
Hyderabad,Web Development,Web Developer,M.Tech,7,7,2020000
Pune,Artificial Intelligence,AI Engineer,MBA,1,3,910000
Bangalore,Artificial Intelligence,ML Engineer,Diploma,7,7,2280000
Hyderabad,Data Science,Data Analyst,MBA,0,3,595000
Hyderabad,Artificial Intelligence,AI Engineer,MCA,0,4,980000
Delhi,Artificial Intelligence,ML Engineer,Diploma,4,6,1400000
Bangalore,Web Development,Web Developer,BCA,4,5,1220000
Mumbai,Data Science,Data Scientist,M.Tech,10,8,3390000
Bangalore,Software Development,Software Developer,M.Tech,0,2,700000
Delhi,Web Development,Web Developer,Diploma,10,9,2605000
Delhi,Web Development,Web Developer,M.Tech,1,3,705000
Hyderabad,Artificial Intelligence,ML Engineer,MCA,10,7,3190000
Pune,Data Science,Data Scientist,Diploma,4,6,1310000
Delhi,Artificial Intelligence,AI Engineer,M.Tech,1,4,1140000
Delhi,Web Development,Web Developer,BCA,4,5,1075000
Mumbai,Web Development,Web Developer,MCA,4,5,1305000
Hyderabad,Artificial Intelligence,AI Engineer,Diploma,1,4,935000
Chennai,Web Development,Web Developer,B.Tech,10,8,2535000
Chennai,Web Development,Web Developer,M.Tech,10,7,2625000
Hyderabad,Artificial Intelligence,AI Engineer,B.Sc,2,4,1095000
Delhi,Artificial Intelligence,AI Engineer,BCA,1,4,910000
Pune,Software Development,Software Developer,M.Tech,2,4,925000
Pune,Web Development,Web Developer,B.Sc,0,4,375000
Mumbai,Artificial Intelligence,ML Engineer,B.Tech,4,4,1580000
Delhi,Data Science,Data Analyst,B.Sc,10,7,2670000
Mumbai,Web Development,Web Developer,B.Tech,4,4,1220000
Pune,Data Science,Data Analyst,MBA,7,6,1825000
Mumbai,Data Science,Data Scientist,BCA,1,3,865000
Hyderabad,Software Development,Software Developer,BCA,7,7,1930000
Hyderabad,Web Development,Web Developer,B.Tech,0,4,480000
Delhi,Artificial Intelligence,ML Engineer,BCA,10,9,3075000
Delhi,Web Development,Web Developer,MCA,0,4,490000
Pune,Artificial Intelligence,AI Engineer,M.Tech,10,7,3080000
Hyderabad,Artificial Intelligence,ML Engineer,B.Sc,4,5,1490000
Mumbai,Artificial Intelligence,ML Engineer,MCA,0,2,835000
Bangalore,Web Development,Web Developer,Diploma,2,5,690000
Delhi,Artificial Intelligence,ML Engineer,MBA,10,7,3065000
Delhi,Artificial Intelligence,ML Engineer,Diploma,2,3,910000
Mumbai,Web Development,Web Developer,Diploma,4,4,1010000
Mumbai,Data Science,Data Scientist,Diploma,10,9,3110000
Chennai,Data Science,Data Scientist,MCA,0,2,685000
Hyderabad,Artificial Intelligence,ML Engineer,MCA,2,3,1140000
Hyderabad,Artificial Intelligence,ML Engineer,Diploma,4,4,1405000
Mumbai,Data Science,Data Analyst,MBA,2,3,885000
Bangalore,Data Science,Data Scientist,MBA,2,5,1215000
Delhi,Software Development,Software Developer,MBA,4,4,1240000
Bangalore,Web Development,Web Developer,B.Sc,1,4,605000
Hyderabad,Artificial Intelligence,AI Engineer,MCA,1,2,1010000
Delhi,Artificial Intelligence,AI Engineer,M.Tech,0,4,990000
Hyderabad,Artificial Intelligence,AI Engineer,BCA,10,8,3150000
Bangalore,Data Science,Data Analyst,MCA,7,6,2160000
Chennai,Artificial Intelligence,ML Engineer,Diploma,10,9,2750000
Hyderabad,Web Development,Web Developer,BCA,0,4,445000
Chennai,Data Science,Data Scientist,M.Tech,10,8,2890000
Hyderabad,Artificial Intelligence,AI Engineer,M.Tech,0,2,940000
Pune,Artificial Intelligence,AI Engineer,BCA,1,4,855000
Pune,Web Development,Web Developer,MBA,7,6,1765000
Chennai,Web Development,Web Developer,B.Tech,7,7,1750000
Hyderabad,Web Development,Web Developer,BCA,2,3,645000
Bangalore,Software Development,Software Developer,B.Sc,10,9,3060000
Chennai,Web Development,Web Developer,MCA,2,5,760000
Delhi,Artificial Intelligence,ML Engineer,M.Tech,10,7,3160000
Hyderabad,Data Science,Data Analyst,B.Sc,2,5,835000
Mumbai,Web Development,Web Developer,BCA,7,6,1900000
Hyderabad,Data Science,Data Analyst,B.Sc,4,5,1175000
Hyderabad,Data Science,Data Analyst,BCA,7,7,1900000
Mumbai,Data Science,Data Scientist,B.Tech,10,8,3230000
Hyderabad,Artificial Intelligence,ML Engineer,MBA,1,4,1040000
Chennai,Artificial Intelligence,ML Engineer,Diploma,4,6,1270000
Chennai,Data Science,Data Analyst,B.Sc,10,8,2520000
Pune,Web Development,Web Developer,BCA,2,5,645000
Bangalore,Data Science,Data Scientist,Diploma,2,3,950000
Chennai,Data Science,Data Analyst,BCA,2,5,710000
Hyderabad,Software Development,Software Developer,B.Sc,10,7,2815000
Mumbai,Data Science,Data Scientist,B.Tech,7,6,2315000
Hyderabad,Artificial Intelligence,AI Engineer,M.Tech,10,7,3305000
Bangalore,Software Development,Software Developer,M.Tech,1,2,835000
Bangalore,Web Development,Web Developer,M.Tech,2,5,970000
Delhi,Data Science,Data Analyst,B.Sc,1,3,545000
Delhi,Software Development,Software Developer,Diploma,7,5,1735000
Bangalore,Artificial Intelligence,AI Engineer,MCA,7,6,2480000
Pune,Artificial Intelligence,AI Engineer,B.Sc,1,3,885000
Chennai,Software Development,Software Developer,B.Sc,4,4,985000
Bangalore,Artificial Intelligence,AI Engineer,MCA,1,2,1115000
Chennai,Artificial Intelligence,ML Engineer,B.Sc,7,5,1870000
Hyderabad,Software Development,Software Developer,B.Tech,0,4,570000
Chennai,Web Development,Web Developer,MCA,0,4,490000
Chennai,Artificial Intelligence,AI Engineer,M.Tech,0,4,925000
Chennai,Artificial Intelligence,AI Engineer,Diploma,1,4,830000
Delhi,Artificial Intelligence,AI Engineer,BCA,2,4,1085000
Hyderabad,Data Science,Data Scientist,B.Tech,10,9,3130000
Pune,Artificial Intelligence,ML Engineer,B.Tech,7,5,2055000
Hyderabad,Artificial Intelligence,AI Engineer,M.Tech,7,7,2405000
Bangalore,Data Science,Data Analyst,Diploma,10,8,2935000
Hyderabad,Data Science,Data Analyst,B.Sc,10,7,2760000
Bangalore,Data Science,Data Analyst,B.Sc,2,5,885000
Chennai,Data Science,Data Analyst,BCA,0,2,345000
Mumbai,Data Science,Data Scientist,B.Sc,2,4,1000000
Pune,Data Science,Data Scientist,MCA,10,8,2920000
Bangalore,Data Science,Data Analyst,M.Tech,10,8,3215000
Mumbai,Artificial Intelligence,ML Engineer,B.Sc,2,5,1135000
Bangalore,Artificial Intelligence,AI Engineer,B.Sc,7,7,2435000
Chennai,Artificial Intelligence,ML Engineer,M.Tech,0,4,865000
Delhi,Artificial Intelligence,AI Engineer,MBA,2,5,1180000
Delhi,Artificial Intelligence,AI Engineer,B.Tech,2,4,1185000
Bangalore,Software Development,Software Developer,MCA,7,7,2190000
Bangalore,Data Science,Data Scientist,M.Tech,7,5,2480000
Chennai,Data Science,Data Analyst,B.Tech,1,4,570000
Mumbai,Artificial Intelligence,AI Engineer,Diploma,0,2,760000
Bangalore,Data Science,Data Scientist,MCA,4,5,1645000
Delhi,Artificial Intelligence,AI Engineer,B.Tech,7,6,2235000
Bangalore,Artificial Intelligence,AI Engineer,BCA,10,9,3420000
Pune,Data Science,Data Analyst,Diploma,4,6,1085000
Delhi,Artificial Intelligence,ML Engineer,B.Sc,4,4,1385000
Pune,Data Science,Data Analyst,Diploma,7,6,1725000
Pune,Web Development,Web Developer,B.Sc,10,9,2535000
Hyderabad,Data Science,Data Analyst,M.Tech,7,7,2060000
Pune,Software Development,Software Developer,B.Sc,0,4,465000
Chennai,Software Development,Software Developer,MCA,2,4,855000
Hyderabad,Data Science,Data Scientist,B.Tech,4,6,1530000
Pune,Artificial Intelligence,AI Engineer,B.Sc,7,6,2040000
Pune,Data Science,Data Analyst,BCA,1,3,580000
Pune,Data Science,Data Scientist,MBA,4,5,1415000
Mumbai,Data Science,Data Analyst,M.Tech,2,4,970000
Delhi,Data Science,Data Scientist,MBA,7,6,2140000
Pune,Software Development,Software Developer,B.Sc,10,9,2625000
Hyderabad,Artificial Intelligence,AI Engineer,Diploma,4,4,1450000
Delhi,Data Science,Data Scientist,M.Tech,2,4,1110000
Bangalore,Artificial Intelligence,ML Engineer,MCA,2,4,1245000
Mumbai,Software Development,Software Developer,B.Tech,4,5,1335000
Chennai,Data Science,Data Analyst,M.Tech,0,2,565000
Bangalore,Artificial Intelligence,ML Engineer,Diploma,0,3,745000
Hyderabad,Software Development,Software Developer,MCA,0,3,605000
Hyderabad,Artificial Intelligence,ML Engineer,MCA,4,4,1585000
Chennai,Artificial Intelligence,ML Engineer,B.Sc,0,4,700000
Mumbai,Data Science,Data Analyst,B.Tech,0,3,555000
Chennai,Web Development,Web Developer,Diploma,2,5,625000
Delhi,Artificial Intelligence,AI Engineer,M.Tech,4,6,1645000
Chennai,Data Science,Data Scientist,B.Tech,1,3,805000
Pune,Data Science,Data Scientist,B.Tech,7,5,1965000
Bangalore,Software Development,Software Developer,M.Tech,2,5,1040000
Delhi,Data Science,Data Scientist,B.Tech,0,3,770000
Pune,Web Development,Web Developer,MCA,2,3,715000
Chennai,Artificial Intelligence,AI Engineer,Diploma,0,4,635000
Delhi,Web Development,Web Developer,Diploma,4,4,940000
Pune,Data Science,Data Scientist,Diploma,2,5,910000
Mumbai,Data Science,Data Scientist,BCA,7,7,2250000
Mumbai,Software Development,Software Developer,BCA,10,8,2990000
Hyderabad,Data Science,Data Scientist,Diploma,10,7,2950000
Delhi,Data Science,Data Scientist,M.Tech,10,7,3135000
Delhi,Data Science,Data Analyst,MBA,7,6,1935000
Hyderabad,Web Development,Web Developer,Diploma,7,7,1765000
Mumbai,Web Development,Web Developer,B.Sc,2,4,705000
Hyderabad,Data Science,Data Scientist,MCA,1,3,985000
Chennai,Software Development,Software Developer,MCA,0,4,595000
Hyderabad,Artificial Intelligence,AI Engineer,B.Tech,1,3,1040000
Pune,Artificial Intelligence,AI Engineer,M.Tech,0,4,935000
Delhi,Software Development,Software Developer,Diploma,1,3,545000
