city,domain,job_role,education,experience_years,skills_count,salary
Chennai,Artificial Intelligence,ML Engineer,B.Sc,1,3,805000
Chennai,Software Development,Software Developer,M.Tech,4,4,1195000
Delhi,Data Science,Data Scientist,MCA,7,5,2150000
Hyderabad,Artificial Intelligence,ML Engineer,BCA,2,3,1085000
Pune,Artificial Intelligence,AI Engineer,BCA,0,2,705000
Bangalore,Artificial Intelligence,AI Engineer,MBA,2,4,1335000
Mumbai,Data Science,Data Scientist,Diploma,4,6,1385000
Chennai,Artificial Intelligence,AI Engineer,BCA,0,4,730000
Bangalore,Software Development,Software Developer,B.Tech,7,6,2140000
Chennai,Software Development,Software Developer,BCA,7,7,1710000
Pune,Artificial Intelligence,ML Engineer,M.Tech,1,2,970000
Mumbai,Artificial Intelligence,ML Engineer,BCA,2,3,1105000
Delhi,Data Science,Data Scientist,BCA,7,7,2115000
Pune,Software Development,Software Developer,M.Tech,0,3,615000
Delhi,Web Development,Web Developer,BCA,7,7,1775000
Mumbai,Artificial Intelligence,AI Engineer,B.Tech,2,4,1215000
Hyderabad,Software Development,Software Developer,B.Sc,4,4,1150000
Chennai,Data Science,Data Analyst,B.Sc,1,4,580000
Chennai,Software Development,Software Developer,B.Sc,1,4,535000
Chennai,Web Development,Web Developer,B.Sc,10,7,2405000
Mumbai,Data Science,Data Scientist,BCA,0,4,770000
Delhi,Data Science,Data Analyst,BCA,10,9,2765000
Bangalore,Artificial Intelligence,ML Engineer,Diploma,2,4,1070000
Bangalore,Artificial Intelligence,ML Engineer,B.Sc,2,5,1205000
Chennai,Artificial Intelligence,AI Engineer,M.Tech,10,8,2985000
Hyderabad,Artificial Intelligence,ML Engineer,BCA,4,5,1425000
Chennai,Data Science,Data Analyst,BCA,1,4,600000
Hyderabad,Web Development,Web Developer,MCA,10,9,2945000
Delhi,Artificial Intelligence,AI Engineer,BCA,10,8,3040000
Pune,Data Science,Data Scientist,BCA,1,3,730000
Mumbai,Web Development,Web Developer,Diploma,2,3,645000
Mumbai,Web Development,Web Developer,B.Sc,0,4,465000
Delhi,Data Science,Data Analyst,M.Tech,4,4,1325000
Mumbai,Data Science,Data Analyst,MBA,10,8,2980000
Bangalore,Data Science,Data Scientist,B.Tech,0,3,825000
Chennai,Web Development,Web Developer,MBA,4,5,1025000
Chennai,Software Development,Software Developer,MBA,2,5,770000
Mumbai,Software Development,Software Developer,B.Sc,1,3,595000
Delhi,Web Development,Web Developer,MBA,2,4,765000
Bangalore,Artificial Intelligence,ML Engineer,B.Sc,0,3,775000
Delhi,Data Science,Data Analyst,BCA,1,4,610000
Mumbai,Data Science,Data Scientist,MCA,2,5,1195000
Mumbai,Artificial Intelligence,AI Engineer,MBA,2,5,1320000
Delhi,Data Science,Data Scientist,B.Sc,4,6,1370000
Bangalore,Software Development,Software Developer,MBA,10,9,3165000
Bangalore,Web Development,Web Developer,MCA,4,5,1320000
Mumbai,Data Science,Data Scientist,Diploma,7,7,2170000
Hyderabad,Artificial Intelligence,AI Engineer,MCA,7,6,2375000
Mumbai,Web Development,Web Developer,BCA,0,4,435000
Bangalore,Data Science,Data Analyst,BCA,1,4,665000
Pune,Data Science,Data Scientist,M.Tech,7,6,2105000
Delhi,Artificial Intelligence,AI Engineer,BCA,0,2,720000
Hyderabad,Software Development,Software Developer,B.Tech,4,6,1290000
Bangalore,Artificial Intelligence,AI Engineer,B.Tech,10,7,3460000
Pune,Data Science,Data Scientist,M.Tech,0,4,830000
Bangalore,Artificial Intelligence,AI Engineer,MBA,1,2,1040000
Chennai,Web Development,Web Developer,MBA,7,7,1695000
Mumbai,Artificial Intelligence,ML Engineer,B.Sc,1,2,855000
Hyderabad,Artificial Intelligence,ML Engineer,MBA,7,6,2275000
Chennai,Artificial Intelligence,AI Engineer,B.Sc,10,8,2755000
Mumbai,Data Science,Data Analyst,MCA,1,3,705000
Chennai,Artificial Intelligence,AI Engineer,B.Tech,10,8,2925000
Bangalore,Data Science,Data Scientist,B.Tech,10,9,3390000
Mumbai,Data Science,Data Analyst,MBA,0,2,555000
Delhi,Data Science,Data Analyst,M.Tech,2,4,915000
Pune,Web Development,Web Developer,BCA,0,2,325000
Pune,Software Development,Software Developer,MCA,10,7,2725000
Mumbai,Web Development,Web Developer,M.Tech,1,4,800000
Bangalore,Web Development,Web Developer,B.Tech,0,2,425000
Mumbai,Artificial Intelligence,AI Engineer,B.Tech,10,7,3305000
Bangalore,Web Development,Web Developer,BCA,7,6,1950000
Hyderabad,Artificial Intelligence,AI Engineer,B.Tech,2,4,1215000
Bangalore,Data Science,Data Analyst,MBA,1,3,760000
Delhi,Artificial Intelligence,AI Engineer,B.Tech,0,2,840000
Bangalore,Artificial Intelligence,ML Engineer,M.Tech,7,5,2495000
Mumbai,Artificial Intelligence,ML Engineer,MBA,7,6,2390000
Pune,Data Science,Data Analyst,M.Tech,0,3,590000
Hyderabad,Artificial Intelligence,ML Engineer,B.Tech,0,3,785000
Bangalore,Data Science,Data Scientist,MBA,4,6,1665000
Pune,Data Science,Data Analyst,BCA,7,5,1710000
Delhi,Data Science,Data Analyst,Diploma,0,3,360000
Hyderabad,Artificial Intelligence,AI Engineer,BCA,4,4,1535000
Delhi,Artificial Intelligence,AI Engineer,Diploma,1,2,775000
Hyderabad,Software Development,Software Developer,M.Tech,7,6,2135000
Pune,Artificial Intelligence,ML Engineer,MCA,2,4,1085000
Hyderabad,Data Science,Data Scientist,Diploma,2,4,970000
Bangalore,Web Development,Web Developer,B.Tech,2,3,785000
Delhi,Artificial Intelligence,AI Engineer,M.Tech,7,6,2340000
Mumbai,Data Science,Data Analyst,B.Tech,4,5,1325000
Delhi,Data Science,Data Scientist,B.Tech,1,4,900000
Delhi,Data Science,Data Analyst,B.Sc,2,5,810000
Pune,Data Science,Data Analyst,Diploma,0,3,335000
Bangalore,Web Development,Web Developer,MCA,1,4,750000
Hyderabad,Data Science,Data Analyst,MBA,10,9,2975000
Chennai,Artificial Intelligence,ML Engineer,MBA,4,5,1415000
Delhi,Data Science,Data Analyst,BCA,2,3,690000
Delhi,Artificial Intelligence,ML Engineer,MBA,4,6,1495000
Chennai,Software Development,Software Developer,B.Tech,4,6,1120000
Pune,Web Development,Web Developer,MCA,1,4,650000
Mumbai,Web Development,Web Developer,MCA,2,5,895000
Delhi,Artificial Intelligence,ML Engineer,B.Tech,4,4,1425000
Mumbai,Data Science,Data Scientist,B.Sc,4,4,1410000
Delhi,Artificial Intelligence,ML Engineer,M.Tech,0,4,935000
Pune,Software Development,Software Developer,Diploma,7,5,1640000
Delhi,Artificial Intelligence,ML Engineer,M.Tech,1,2,1015000
Chennai,Data Science,Data Analyst,MBA,7,5,1720000
Pune,Artificial Intelligence,ML Engineer,B.Tech,0,4,830000
Pune,Data Science,Data Analyst,MBA,0,4,575000
Hyderabad,Data Science,Data Scientist,MCA,0,4,845000
Hyderabad,Data Science,Data Scientist,MCA,4,4,1485000
Chennai,Software Development,Software Developer,Diploma,7,6,1630000
Mumbai,Data Science,Data Analyst,Diploma,0,4,450000
Pune,Software Development,Software Developer,B.Tech,1,3,670000
Mumbai,Artificial Intelligence,ML Engineer,Diploma,2,4,1055000
Mumbai,Software Development,Software Developer,B.Sc,10,9,2935000
Chennai,Web Development,Web Developer,BCA,1,3,510000
Chennai,Artificial Intelligence,ML Engineer,BCA,1,4,835000
Pune,Web Development,Web Developer,MCA,4,4,1145000
Bangalore,Web Development,Web Developer,BCA,10,8,3005000
Bangalore,Data Science,Data Scientist,M.Tech,4,6,1690000
Hyderabad,Artificial Intelligence,ML Engineer,MBA,4,5,1520000
Chennai,Web Development,Web Developer,B.Tech,4,5,1050000
Bangalore,Web Development,Web Developer,Diploma,4,6,1175000
Delhi,Data Science,Data Analyst,MBA,1,2,640000
Bangalore,Software Development,Software Developer,B.Tech,0,4,655000
Delhi,Data Science,Data Scientist,B.Tech,2,5,1065000
Delhi,Software Development,Software Developer,B.Sc,7,5,1840000
Delhi,Artificial Intelligence,ML Engineer,BCA,1,3,855000
Bangalore,Artificial Intelligence,ML Engineer,M.Tech,1,3,1175000
Mumbai,Artificial Intelligence,AI Engineer,B.Tech,4,6,1715000
Mumbai,Data Science,Data Analyst,Diploma,4,5,1165000
Bangalore,Data Science,Data Scientist,B.Tech,4,5,1610000
Delhi,Software Development,Software Developer,MBA,10,9,2930000
Hyderabad,Artificial Intelligence,AI Engineer,MBA,0,2,860000
Mumbai,Artificial Intelligence,ML Engineer,Diploma,1,3,885000
Pune,Artificial Intelligence,AI Engineer,B.Sc,4,5,1390000
Pune,Artificial Intelligence,ML Engineer,B.Tech,10,7,2965000
Bangalore,Data Science,Data Analyst,B.Tech,10,8,3060000
Mumbai,Web Development,Web Developer,MBA,7,6,1970000
Mumbai,Data Science,Data Analyst,Diploma,10,9,2920000
Delhi,Artificial Intelligence,ML Engineer,B.Sc,10,9,3035000
Pune,Software Development,Software Developer,B.Tech,7,5,1790000
Hyderabad,Software Development,Software Developer,B.Tech,7,7,2045000
Hyderabad,Software Development,Software Developer,MCA,7,6,2000000
Pune,Artificial Intelligence,ML Engineer,M.Tech,4,6,1510000
Chennai,Artificial Intelligence,ML Engineer,BCA,0,4,680000
Bangalore,Artificial Intelligence,ML Engineer,BCA,10,7,3340000
Delhi,Web Development,Web Developer,B.Sc,10,9,2665000
Pune,Software Development,Software Developer,B.Sc,1,4,585000
Chennai,Data Science,Data Scientist,MBA,7,6,2010000
Bangalore,Artificial Intelligence,ML Engineer,B.Sc,10,7,3295000
Delhi,Software Development,Software Developer,M.Tech,2,3,885000
Pune,Data Science,Data Scientist,BCA,2,4,900000
Bangalore,Software Development,Software Developer,B.Tech,4,5,1335000
Chennai,Data Science,Data Analyst,B.Tech,0,2,485000
Chennai,Artificial Intelligence,ML Engineer,B.Tech,1,3,800000
Delhi,Software Development,Software Developer,M.Tech,1,3,775000
Mumbai,Software Development,Software Developer,Diploma,7,6,1940000
Hyderabad,Artificial Intelligence,AI Engineer,M.Tech,1,2,1115000
Mumbai,Artificial Intelligence,ML Engineer,B.Tech,7,7,2365000
Bangalore,Software Development,Software Developer,M.Tech,7,5,2180000
Delhi,Data Science,Data Scientist,B.Sc,7,5,2050000
Mumbai,Artificial Intelligence,ML Engineer,MCA,7,5,2390000
Chennai,Data Science,Data Scientist,B.Sc,0,4,645000
Hyderabad,Software Development,Software Developer,B.Sc,2,5,815000
Delhi,Data Science,Data Scientist,BCA,2,4,1005000
Mumbai,Data Science,Data Scientist,MBA,7,7,2325000
Chennai,Artificial Intelligence,ML Engineer,MCA,4,4,1370000
Mumbai,Artificial Intelligence,AI Engineer,BCA,10,7,3225000
Bangalore,Data Science,Data Scientist,Diploma,1,4,825000
Chennai,Data Science,Data Analyst,M.Tech,4,4,1215000
Hyderabad,Data Science,Data Analyst,M.Tech,2,3,920000
Mumbai,Web Development,Web Developer,B.Tech,2,4,765000
Pune,Artificial Intelligence,ML Engineer,MCA,0,2,810000
Hyderabad,Web Development,Web Developer,M.Tech,4,5,1240000
Chennai,Artificial Intelligence,AI Engineer,BCA,4,5,1370000
Chennai,Software Development,Software Developer,B.Tech,7,6,1740000
Mumbai,Software Development,Software Developer,B.Tech,2,5,890000
Hyderabad,Data Science,Data Analyst,BCA,2,5,795000
Delhi,Artificial Intelligence,AI Engineer,B.Tech,10,8,3195000
Pune,Data Science,Data Scientist,B.Sc,2,4,880000
Delhi,Web Development,Web Developer,B.Sc,7,7,1825000
Hyderabad,Data Science,Data Scientist,MBA,2,5,1150000
Bangalore,Artificial Intelligence,ML Engineer,MBA,7,5,2460000
Hyderabad,Web Development,Web Developer,MBA,10,8,2895000
Bangalore,Artificial Intelligence,AI Engineer,MCA,10,8,3560000
Bangalore,Web Development,Web Developer,MBA,0,3,475000
Pune,Data Science,Data Scientist,MBA,1,2,825000
Hyderabad,Data Science,Data Scientist,B.Sc,7,7,2125000
Mumbai,Web Development,Web Developer,Diploma,1,2,480000
Bangalore,Artificial Intelligence,AI Engineer,MCA,4,6,1775000
Bangalore,Software Development,Software Developer,MBA,4,5,1355000
Mumbai,Web Development,Web Developer,Diploma,7,7,1825000
Chennai,Artificial Intelligence,AI Engineer,B.Sc,1,3,850000
Hyderabad,Data Science,Data Analyst,Diploma,4,5,1090000
Chennai,Artificial Intelligence,ML Engineer,B.Tech,10,9,2840000
Bangalore,Software Development,Software Developer,Diploma,2,4,790000
Pune,Data Science,Data Analyst,BCA,10,8,2650000
Bangalore,Web Development,Web Developer,MBA,7,5,2000000
Hyderabad,Web Development,Web Developer,B.Tech,1,2,570000
Bangalore,Artificial Intelligence,ML Engineer,B.Sc,4,6,1555000
Pune,Artificial Intelligence,ML Engineer,BCA,10,8,2850000
Bangalore,Data Science,Data Scientist,MBA,7,6,2355000
Delhi,Web Development,Web Developer,B.Sc,1,3,515000
Chennai,Software Development,Software Developer,BCA,4,5,1065000
Delhi,Artificial Intelligence,AI Engineer,M.Tech,10,8,3230000
Chennai,Data Science,Data Scientist,Diploma,10,8,2680000
Bangalore,Data Science,Data Analyst,BCA,10,8,3070000
Chennai,Artificial Intelligence,AI Engineer,MCA,4,6,1435000
Hyderabad,Web Development,Web Developer,M.Tech,0,2,520000
Mumbai,Web Development,Web Developer,B.Tech,0,3,470000
Mumbai,Artificial Intelligence,ML Engineer,B.Tech,1,4,975000
Mumbai,Web Development,Web Developer,B.Sc,7,6,1835000
Delhi,Artificial Intelligence,ML Engineer,B.Sc,0,3,665000
Hyderabad,Artificial Intelligence,ML Engineer,M.Tech,1,4,1095000
Chennai,Artificial Intelligence,AI Engineer,B.Sc,0,2,675000
Hyderabad,Software Development,Software Developer,MBA,1,3,730000
Bangalore,Artificial Intelligence,AI Engineer,B.Tech,4,6,1715000
Mumbai,Artificial Intelligence,ML Engineer,B.Sc,0,3,760000
Pune,Web Development,Web Developer,B.Tech,7,7,1815000
Bangalore,Data Science,Data Analyst,M.Tech,1,3,865000
Mumbai,Software Development,Software Developer,Diploma,2,5,825000
Pune,Data Science,Data Analyst,M.Tech,4,4,1215000
Mumbai,Web Development,Web Developer,BCA,10,8,2875000
Hyderabad,Web Development,Web Developer,MBA,0,3,490000
Bangalore,Data Science,Data Scientist,MCA,2,5,1270000
Bangalore,Data Science,Data Scientist,MCA,10,7,3355000
Chennai,Artificial Intelligence,AI Engineer,B.Tech,4,6,1460000
Hyderabad,Data Science,Data Analyst,Diploma,2,4,715000
Bangalore,Web Development,Web Developer,MBA,4,4,1275000
Mumbai,Artificial Intelligence,AI Engineer,M.Tech,10,7,3430000
Mumbai,Data Science,Data Scientist,MBA,2,5,1205000
Bangalore,Web Development,Web Developer,MCA,0,4,610000
Pune,Artificial Intelligence,ML Engineer,MCA,1,2,920000
Mumbai,Artificial Intelligence,AI Engineer,MCA,4,6,1755000
Delhi,Web Development,Web Developer,B.Sc,2,5,730000
Bangalore,Web Development,Web Developer,B.Sc,7,7,2020000
Bangalore,Artificial Intelligence,ML Engineer,B.Tech,2,5,1300000
Delhi,Software Development,Software Developer,B.Sc,0,4,475000
Chennai,Software Development,Software Developer,MBA,0,4,545000
Chennai,Artificial Intelligence,ML Engineer,Diploma,0,4,620000
Mumbai,Artificial Intelligence,AI Engineer,B.Tech,0,2,845000
Mumbai,Software Development,Software Developer,M.Tech,4,5,1430000
Chennai,Data Science,Data Analyst,B.Sc,0,4,435000
Delhi,Data Science,Data Scientist,MCA,10,8,3080000
Bangalore,Data Science,Data Analyst,B.Tech,4,5,1285000
Delhi,Web Development,Web Developer,M.Tech,4,4,1255000
Hyderabad,Artificial Intelligence,AI Engineer,B.Sc,0,4,815000
Mumbai,Web Development,Web Developer,Diploma,10,9,2850000
Delhi,Artificial Intelligence,ML Engineer,MBA,1,4,995000
Bangalore,Web Development,Web Developer,BCA,1,2,580000
Bangalore,Web Development,Web Developer,Diploma,7,5,1875000
Mumbai,Software Development,Software Developer,MCA,7,5,2040000
Delhi,Software Development,Software Developer,MCA,10,7,2805000
Pune,Data Science,Data Analyst,B.Sc,7,6,1780000
Chennai,Software Development,Software Developer,MCA,10,7,2575000
Mumbai,Web Development,Web Developer,BCA,4,5,1150000
Bangalore,Artificial Intelligence,ML Engineer,BCA,4,5,1565000
Mumbai,Data Science,Data Analyst,MBA,4,6,1345000
Bangalore,Artificial Intelligence,AI Engineer,B.Tech,7,7,2525000
Pune,Data Science,Data Analyst,B.Tech,7,6,1780000
Chennai,Artificial Intelligence,ML Engineer,MCA,1,3,870000
Pune,Artificial Intelligence,ML Engineer,MBA,1,4,965000
Mumbai,Software Development,Software Developer,M.Tech,1,4,810000
Chennai,Data Science,Data Analyst,Diploma,1,3,495000
Hyderabad,Software Development,Software Developer,MBA,4,6,1315000
Hyderabad,Data Science,Data Analyst,BCA,4,5,1135000
Delhi,Data Science,Data Scientist,MCA,4,6,1485000
Hyderabad,Artificial Intelligence,AI Engineer,Diploma,7,6,2165000
Pune,Web Development,Web Developer,M.Tech,4,5,1155000
Bangalore,Artificial Intelligence,ML Engineer,MCA,7,7,2480000
Pune,Data Science,Data Analyst,M.Tech,7,6,1940000
Chennai,Data Science,Data Scientist,B.Tech,2,3,910000
Bangalore,Data Science,Data Analyst,M.Tech,2,4,1005000
Pune,Artificial Intelligence,ML Engineer,M.Tech,0,2,850000
Bangalore,Artificial Intelligence,ML Engineer,MCA,10,9,3490000
Chennai,Artificial Intelligence,AI Engineer,BCA,7,6,2000000
Pune,Web Development,Web Developer,B.Sc,7,6,1665000
Chennai,Web Development,Web Developer,BCA,7,6,1595000
Hyderabad,Data Science,Data Scientist,M.Tech,4,6,1645000
Mumbai,Software Development,Software Developer,MCA,1,4,825000
Mumbai,Artificial Intelligence,AI Engineer,Diploma,2,3,1010000
Delhi,Data Science,Data Analyst,B.Tech,7,7,1945000
Pune,Software Development,Software Developer,BCA,4,4,1050000
Chennai,Artificial Intelligence,AI Engineer,M.Tech,2,5,1190000
Delhi,Artificial Intelligence,ML Engineer,MBA,0,2,760000
Mumbai,Data Science,Data Analyst,BCA,7,5,1980000
Pune,Data Science,Data Scientist,M.Tech,10,7,2995000
Chennai,Artificial Intelligence,ML Engineer,MCA,7,6,2030000
Delhi,Data Science,Data Scientist,MCA,2,3,1085000
Pune,Software Development,Software Developer,B.Tech,10,7,2625000
Hyderabad,Data Science,Data Analyst,B.Sc,1,4,625000
Chennai,Web Development,Web Developer,M.Tech,2,3,745000
Hyderabad,Artificial Intelligence,ML Engineer,M.Tech,0,2,870000
Chennai,Web Development,Web Developer,B.Tech,1,3,555000
Bangalore,Artificial Intelligence,AI Engineer,BCA,7,5,2390000
Mumbai,Web Development,Web Developer,B.Sc,1,4,590000
Pune,Artificial Intelligence,AI Engineer,Diploma,0,3,665000
Bangalore,Software Development,Software Developer,BCA,10,7,3020000
Mumbai,Artificial Intelligence,ML Engineer,M.Tech,2,5,1320000
Mumbai,Artificial Intelligence,AI Engineer,M.Tech,7,5,2500000
Hyderabad,Data Science,Data Scientist,MBA,1,3,905000
Chennai,Data Science,Data Analyst,Diploma,2,3,555000
Bangalore,Artificial Intelligence,AI Engineer,M.Tech,0,4,1120000
Hyderabad,Web Development,Web Developer,B.Tech,7,7,1955000
Pune,Data Science,Data Scientist,MCA,2,3,980000
Pune,Artificial Intelligence,AI Engineer,Diploma,1,3,835000
Chennai,Data Science,Data Scientist,M.Tech,4,6,1440000
Bangalore,Data Science,Data Analyst,Diploma,4,6,1170000
Bangalore,Artificial Intelligence,ML Engineer,MCA,4,4,1645000
Hyderabad,Software Development,Software Developer,MCA,1,3,695000
Bangalore,Software Development,Software Developer,B.Sc,7,7,2095000
Chennai,Artificial Intelligence,ML Engineer,B.Sc,10,7,2730000
Mumbai,Software Development,Software Developer,MBA,0,3,630000
Hyderabad,Data Science,Data Analyst,B.Tech,7,5,1945000
Mumbai,Software Development,Software Developer,MBA,7,7,2075000
Mumbai,Data Science,Data Analyst,BCA,0,2,480000
Mumbai,Software Development,Software Developer,BCA,0,2,455000
Mumbai,Data Science,Data Analyst,MCA,4,5,1300000
Chennai,Data Science,Data Analyst,Diploma,4,5,1010000
Delhi,Data Science,Data Analyst,B.Sc,4,6,1190000
Delhi,Artificial Intelligence,ML Engineer,B.Tech,2,3,1090000
Chennai,Data Science,Data Analyst,BCA,10,9,2570000
Chennai,Software Development,Software Developer,B.Sc,7,7,1685000
Pune,Data Science,Data Analyst,Diploma,10,7,2515000
Delhi,Data Science,Data Analyst,Diploma,2,5,685000
Pune,Artificial Intelligence,ML Engineer,Diploma,2,5,965000
Chennai,Software Development,Software Developer,Diploma,2,3,620000
Hyderabad,Data Science,Data Analyst,M.Tech,0,4,655000
Pune,Data Science,Data Scientist,MCA,0,4,770000
Pune,Data Science,Data Scientist,M.Tech,1,4,945000
Delhi,Artificial Intelligence,AI Engineer,Diploma,0,4,775000
Mumbai,Artificial Intelligence,ML Engineer,M.Tech,10,7,3400000
Chennai,Data Science,Data Scientist,B.Sc,1,4,715000
Chennai,Artificial Intelligence,ML Engineer,MBA,7,7,2015000
Bangalore,Artificial Intelligence,AI Engineer,M.Tech,10,9,3625000
Pune,Data Science,Data Analyst,MBA,2,5,855000
Mumbai,Software Development,Software Developer,B.Tech,7,6,2045000
Pune,Data Science,Data Analyst,B.Tech,10,7,2660000
Delhi,Data Science,Data Analyst,B.Sc,0,4,450000
Delhi,Web Development,Web Developer,BCA,1,4,545000
Mumbai,Artificial Intelligence,AI Engineer,MBA,4,4,1635000
Delhi,Data Science,Data Analyst,BCA,7,7,1870000
Hyderabad,Data Science,Data Scientist,Diploma,0,4,680000
Mumbai,Software Development,Software Developer,MCA,0,2,540000
Hyderabad,Data Science,Data Scientist,M.Tech,0,2,815000
Pune,Web Development,Web Developer,BCA,4,5,1010000
Delhi,Artificial Intelligence,ML Engineer,MCA,7,6,2245000
Pune,Artificial Intelligence,ML Engineer,M.Tech,2,5,1220000
Delhi,Software Development,Software Developer,MBA,1,3,715000
Chennai,Data Science,Data Scientist,Diploma,7,5,1790000
Mumbai,Artificial Intelligence,AI Engineer,B.Sc,2,4,1105000
Hyderabad,Data Science,Data Scientist,B.Tech,2,5,1120000
Mumbai,Data Science,Data Analyst,MBA,7,6,2075000
Mumbai,Artificial Intelligence,ML Engineer,B.Tech,10,9,3320000
Bangalore,Data Science,Data Analyst,MCA,0,2,565000
Chennai,Data Science,Data Scientist,M.Tech,0,4,775000
Delhi,Data Science,Data Analyst,MBA,4,5,1220000
Bangalore,Software Development,Software Developer,BCA,0,2,490000
Mumbai,Data Science,Data Analyst,BCA,1,4,615000
Chennai,Web Development,Web Developer,MBA,1,2,550000
Hyderabad,Software Development,Software Developer,BCA,2,3,730000
Delhi,Artificial Intelligence,AI Engineer,B.Sc,4,5,1495000
Mumbai,Data Science,Data Scientist,Diploma,1,4,850000
Hyderabad,Artificial Intelligence,ML Engineer,Diploma,10,7,3030000
Delhi,Artificial Intelligence,ML Engineer,MCA,4,6,1520000
Hyderabad,Software Development,Software Developer,M.Tech,10,8,3050000
Mumbai,Data Science,Data Analyst,B.Tech,1,2,660000
Bangalore,Web Development,Web Developer,Diploma,0,3,370000
Hyderabad,Web Development,Web Developer,MBA,4,6,1265000
Bangalore,Data Science,Data Analyst,M.Tech,4,4,1375000
Pune,Artificial Intelligence,ML Engineer,Diploma,0,3,590000
Hyderabad,Artificial Intelligence,ML Engineer,MCA,7,7,2340000
Mumbai,Web Development,Web Developer,BCA,2,3,755000
Delhi,Artificial Intelligence,AI Engineer,Diploma,7,5,2050000
Pune,Data Science,Data Scientist,B.Sc,7,5,1975000
Bangalore,Artificial Intelligence,AI Engineer,M.Tech,2,5,1425000
Pune,Artificial Intelligence,ML Engineer,BCA,2,4,1025000
